,f(0),f(1),f(2),f(3),f(4),f(5),f(6),f(7),f(8),f(9),f(10),f(11),f(12),f(13),f(14),f(15),f(16),f(17),f(18),f(19)
0,3.3431,3.8211,4.366,4.986,5.6903,6.4888,7.393,8.4151,9.5689,10.8694,12.3334,13.9791,15.827,17.899,20.2196,22.8154,25.7158,28.9526,32.5606,36.5777
1,,3.0908,3.5315,4.033,4.6026,5.2485,5.9799,6.8066,7.7398,8.7918,9.9759,11.3071,12.8018,14.4777,16.3548,18.4545,20.8004,23.4185,26.3369,29.5862
2,,,2.8565,3.2621,3.7229,4.2453,4.8369,5.5056,6.2604,7.1113,8.0691,9.1459,10.3548,11.7104,13.2287,14.927,16.8246,18.9423,21.3028,23.931
3,,,,2.6386,3.0113,3.4339,3.9123,4.4532,5.0638,5.752,6.5268,7.3977,8.3756,9.4721,10.7001,12.0738,13.6087,15.3216,17.2309,19.3568
4,,,,,2.4357,2.7775,3.1645,3.602,4.0959,4.6526,5.2792,5.9837,6.7746,7.6616,8.6549,9.766,11.0075,12.393,13.9374,15.6569
5,,,,,,2.2466,2.5597,2.9135,3.313,3.7633,4.2701,4.84,5.4797,6.1971,7.0006,7.8993,8.9035,10.0242,11.2734,12.6642
6,,,,,,,2.0704,2.3566,2.6797,3.044,3.4539,3.9148,4.4323,5.0126,5.6625,6.3894,7.2017,8.1081,9.1185,10.2435
7,,,,,,,,1.9062,2.1675,2.4621,2.7937,3.1665,3.5851,4.0545,4.5801,5.1681,5.8251,6.5583,7.3756,8.2856
8,,,,,,,,,1.7532,1.9915,2.2597,2.5613,2.8998,3.2795,3.7047,4.1803,4.7117,5.3048,5.9658,6.7019
9,,,,,,,,,,1.6108,1.8278,2.0717,2.3456,2.6526,2.9966,3.3813,3.8111,4.2908,4.8255,5.4208
10,,,,,,,,,,,1.4784,1.6757,1.8972,2.1456,2.4238,2.735,3.0826,3.4706,3.9031,4.3847
11,,,,,,,,,,,,1.3554,1.5346,1.7355,1.9605,2.2122,2.4934,2.8073,3.1571,3.5466
12,,,,,,,,,,,,,1.2413,1.4038,1.5858,1.7894,2.0168,2.2707,2.5536,2.8687
13,,,,,,,,,,,,,,1.1354,1.2827,1.4473,1.6313,1.8366,2.0655,2.3204
14,,,,,,,,,,,,,,,1.0375,1.1707,1.3195,1.4856,1.6707,1.8768
15,,,,,,,,,,,,,,,,0.9469,1.0673,1.2016,1.3514,1.5181
16,,,,,,,,,,,,,,,,,0.8633,0.9719,1.0931,1.2279
17,,,,,,,,,,,,,,,,,,0.7862,0.8841,0.9932
18,,,,,,,,,,,,,,,,,,,0.7151,0.8034
19,,,,,,,,,,,,,,,,,,,,0.6498
